ticker,name,sector,exchange,currency,price_native,market_cap_native,trailing_pe,forward_pe,revenue_cagr_5y,debt_to_equity,net_debt_to_ebitda,dividend_yield_pct,beta,as_of,data_error
NVDA,NVIDIA Corporation,Semiconductors,NASDAQ,USD,222.11,5378992504832,33.95714,17.22826,1.0004509499443963,0.07018748450344262,0.016803641596103824,0.45,2.215,2026-08-10T13:59:31+00:00,
AMD,"Advanced Micro Devices, Inc.",Semiconductors,NASDAQ,USD,475.9095,776910340096,121.40548,30.783537,0.13643599335368428,0.0610644613406562,,,2.489,2026-08-10T13:59:34+00:00,
TSM,Taiwan Semiconductor Manufacturing Company Limited,Semiconductors,NYSE,USD,420.58,2181327093760,36.95782,19.464006,0.18937972542772896,0.19880018794261936,,0.9,1.258,2026-08-10T13:59:37+00:00,
ASML.AS,ASML Holding N.V.,Semiconductors,Euronext Amsterdam,EUR,1523.8,585291595776,59.803772,29.631721,0.15551134263329014,0.22388615249691518,,0.52,1.365,2026-08-10T13:59:40+00:00,
AVGO,Broadcom Inc.,Semiconductors,NASDAQ,USD,428.52,2038956163072,71.547585,21.943447,0.24378426000041764,0.8012596565467697,1.410324364809587,0.61,1.473,2026-08-10T13:59:42+00:00,
MU,"Micron Technology, Inc.",Semiconductors,NASDAQ,USD,880.56,994498445312,19.908659,5.6787395,0.06713489726936261,0.28206406350964647,0.10231023102310231,0.06,2.213,2026-08-10T13:59:46+00:00,
ARM,Arm Holdings plc,Semiconductors,NASDAQ,USD,270.9699,289395474432,273.70697,88.285095,0.2246090456460499,0.05515327057687666,,,3.909,2026-08-10T13:59:49+00:00,
QCOM,QUALCOMM Incorporated,Semiconductors,NASDAQ,USD,166.215,174604500992,19.00457,16.19988,0.0006330832838727929,0.6984344053569744,0.6223457699778954,2.19,1.663,2026-08-10T13:59:51+00:00,
LRCX,Lam Research Corporation,Semiconductors,NASDAQ,USD,309.51,387283058688,53.734375,26.85502,0.02285830538778799,0.45474328302482586,0.22084077092464074,,1.865,2026-08-10T13:59:53+00:00,
BESI.AS,BE Semiconductor Industries N.V.,Semiconductors,Euronext Amsterdam,EUR,223.0,17654523904,85.44061,34.336166,-0.06475911990843208,1.2517813528915915,0.6299443924772375,0.71,1.336,2026-08-10T13:59:56+00:00,
VST,Vistra Corp.,Energy & Digital Infrastructure,NYSE,USD,142.29,47986122752,23.878355,13.782721,0.08917866741227787,3.9372179713556994,3.8146389713155293,0.65,1.433,2026-08-10T14:00:00+00:00,
CEG,Constellation Energy Corporation,Energy & Digital Infrastructure,NASDAQ,USD,271.18,96159023104,26.529816,20.371735,0.01469039149633189,0.6194117241854378,0.8979694579627454,,1.118,2026-08-10T14:00:04+00:00,
NEE,"NextEra Energy, Inc.",Energy & Digital Infrastructure,NYSE,USD,83.96,175107424256,18.867416,19.0033,0.09364770128221722,1.751007178435394,5.784890606495044,,0.653,2026-08-10T14:00:07+00:00,
EQIX,"Equinix, Inc.",Energy & Digital Infrastructure,NASDAQ,USD,1035.945,102218432512,66.663124,54.865112,0.08265773019010236,1.6053970048036168,4.190441355766886,1.98,0.972,2026-08-10T14:00:11+00:00,
DLR,"Digital Realty Trust, Inc.",Energy & Digital Infrastructure,NYSE,USD,190.835,71887773696,241.5633,65.06256,0.09218604990875767,0.8573515191250958,4.065076072900341,2.52,1.042,2026-08-10T14:00:14+00:00,
GEV,GE Vernova Inc.,Energy & Digital Infrastructure,NYSE,USD,991.5748,264089681920,28.444487,39.83065,0.08682326316822997,0.10484881016281983,,0.2,1.033,2026-08-10T14:00:38+00:00,
VRT,Vertiv Holdings Co,Energy & Digital Infrastructure,NYSE,USD,269.77,103858249728,61.172337,29.653658,0.2158543401649824,0.8189937330322482,0.5544322755780211,,2.077,2026-08-10T14:00:42+00:00,
ETN,Eaton Corporation plc,Energy & Digital Infrastructure,NYSE,USD,448.21,174039941120,45.596134,27.97487,0.09769979247934413,0.5421879021879021,1.500728273183363,0.98,1.177,2026-08-10T14:00:45+00:00,
PWR,"Quanta Services, Inc.",Energy & Digital Infrastructure,NYSE,USD,670.4475,100797349888,76.79812,34.685555,0.18595310976676038,0.7181444598377155,2.1689903068110787,0.07,1.219,2026-08-10T14:00:48+00:00,
IBE.MC,"Iberdrola, S.A.",Energy & Digital Infrastructure,BME Madrid,EUR,20.6,137466724352,25.75,19.062603,-0.06515503823992697,1.1430654310138213,3.0404462208435246,,0.559,2026-08-10T14:00:50+00:00,
MSFT,Microsoft Corporation,AI / Enterprise Software,NASDAQ,USD,507.65,3769578291200,28.281336,21.62587,0.1612397915820203,0.12845314170624364,0.09328784352276177,,1.099,2026-08-10T14:00:54+00:00,
GOOGL,Alphabet Inc.,AI / Enterprise Software,NASDAQ,USD,353.64,4324994318336,17.726316,24.000929,0.12511745609215974,0.14277870757227312,0.08765453961859013,0.25,1.237,2026-08-10T14:00:57+00:00,
PLTR,Palantir Technologies Inc.,AI / Enterprise Software,NYSE,USD,175.9,422697959424,150.34187,76.1894,0.32917125287657845,0.031045035864408873,,,1.563,2026-08-10T14:01:00+00:00,
CRWD,"CrowdStrike Holdings, Inc.",AI / Enterprise Software,NASDAQ,USD,224.05,228286906368,,143.46902,0.2900686653697968,0.18518626408243177,,,1.234,2026-08-10T14:01:03+00:00,
SNOW,Snowflake Inc.,AI / Enterprise Software,NYSE,USD,339.14,117545926656,,125.66094,0.313765188615279,1.42461990060818,,,1.315,2026-08-10T14:01:33+00:00,
NOW,"ServiceNow, Inc.",AI / Enterprise Software,NYSE,USD,123.985,128183386112,77.49062,24.76634,0.22376517864742618,0.1853594569577291,0.005294506949040371,,0.93,2026-08-10T14:01:35+00:00,
ORCL,Oracle Corporation,AI / Enterprise Software,NYSE,USD,148.48,427692326912,25.424656,13.634338,0.10476732816565715,3.674343652959443,2.9375429784435076,1.36,1.718,2026-08-10T14:01:38+00:00,
ANET,"Arista Networks, Inc.",AI / Enterprise Software,NYSE,USD,193.25,243731677184,61.349205,37.454742,0.27146525721597636,0.003553938806030476,,,1.615,2026-08-10T14:01:41+00:00,
DELL,Dell Technologies Inc.,AI / Enterprise Software,NYSE,USD,466.85,301651591168,37.14002,21.365557,0.035349838884853435,-12.75425101214575,1.6853695578805266,0.56,1.401,2026-08-10T14:01:45+00:00,
